,id,title,keys,normalised_text,imdb_id
26,284052,Doctor Strange,action  adventur  fantasi magic  superhero  train  time  based on com  sorcer  doctor  neurosurgeon  wizard  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu),doctor strange,tt1211837
27,76341,Mad Max: Fury Road,action  adventur  science fict rescu  futur  australia  chase  dystopia  post-apocalyptic futur  surviv  on the run  on the road  convoy  peak oil  dark futur,mad max fury road,tt1392190
28,16869,Inglourious Basterds,drama  thriller  war guerrilla warfar  swastika  pari  franc  nazi  self sacrific  sadism  dynamit  mexican standoff  world war ii  jew persecut  masoch  anti-semit  german occupation of fr  british polit  revisionist histori  adolf hitl,inglourious basterds,tt0361748
29,70160,The Hunger Games,science fict  adventur  fantasi based on novel or book  revolut  dystopia  female protagonist  bow and arrow  game  archeri  death match  forced to kil  based on young adult novel,the hunger games,tt1392170
30,315635,Spider-Man: Homecoming,action  adventur  science fict  drama high school  new york c  washington dc  usa  superhero  based on com  reboot  aftercreditssting  marvel cinematic universe (mcu),spiderman homecoming,tt2250912
31,672,Harry Potter and the Chamber of Secrets,adventur  fantasi witch  flying car  elv  magic  sword  diari  child hero  school of witchcraft  giant spid  black mag  giant snak  child driving car  wizard  aftercreditssting  christma  based on young adult novel  wizarding world,harry potter and the chamber of secrets,tt0295297
32,121,The Lord of the Rings: The Two Towers,adventur  fantasi  action mission  armi  based on novel or book  funer  orc  elv  dwarf  explos  fort  cave  sieg  addict  attack  dragon  guid  death  split person  wizard  ring  live action and anim  sword and sorceri,the lord of the rings the two towers,tt0167261
33,1771,Captain America: The First Avenger,action  adventur  science fict new york c  nazi  superhero  world war ii  heroism  shield  based on com  super soldi  period drama  brooklyn  new york c  aftercreditssting  marvel cinematic universe (mcu)  origin stori  soldier  war,captain america the first avenger,tt0458339
34,673,Harry Potter and the Prisoner of Azkaban,adventur  fantasi witch  school friend  friendship  fli  magic  bu  traitor  child hero  school of witchcraft  black mag  time travel  school  best friend  werewolf  muggl  wizard  aftercreditssting  magical creatur  night bu  teenage lif  christma  school class  based on young adult novel  magic spel  wizarding world,harry potter and the prisoner of azkaban,tt0304141
35,10195,Thor,adventur  fantasi  action new mexico  superhero  redempt  banish  based on com  brother against broth  norse mytholog  aftercreditssting  marvel cinematic universe (mcu)  worlds collid  god of thund  fantasi,thor,tt0800369
36,272,Batman Begins,action  crime  drama martial art  undercov  loss of loved on  secret ident  crime fight  superhero  based on com  rivalri  ninja  vigilant  tragic hero  super pow  haunted by the past  evil doctor  master villain  unfulfilled lov,batman begins,tt0372784
37,284053,Thor: Ragnarok,action  adventur  science fict superhero  based on com  sequel  alien planet  female villain  norse mytholog  aftercreditssting  duringcreditssting  marvel cinematic universe (mcu)  norse god  loki,thor ragnarok,tt3501632
38,150540,Inside Out,anim  famili  adventur  drama  comedi dream  san francisco  california  minnesota  sad  cartoon  ice hockey  imaginary friend  elementary school  family relationship  memori  famili  unicorn  running away  duringcreditssting  emot,inside out,tt2096673
39,135397,Jurassic World,action  adventur  science fict  thriller island  primal fear  escap  velociraptor  dna  tyrannosaurus rex  animal attack  sequel  dinosaur  creatur  park  amusement park  theme park  genetic engin  raptor  animal horror  mosasauru,jurassic world,tt0369610
40,807,Se7en,crime  mysteri  thriller drug deal  rage and h  polic  s.w.a.t.  sadism  self-fulfilling propheci  psychopath  detect  rain  investig  pension  eviscer  pride and van  immoder  insomnia  murder  serial kil  religion  seven deadly sin  deprav  neo-noir,se7en,tt0114369
